"","occurrences","deaths","injured","affected","homeless","total.affected","total.damage","country.names","location.lon","location.lat"
"1",175,24104,70699,9390189,217440,9678328,603320,"Afghanistan",67.709953,33.93911
"2",29,215,515,4143261,6565,4150341,24673,"Albania",20.168331,41.153332
"3",83,11752,21992,1227828,935170,2184990,11814846,"Algeria",1.659626,28.033886
"4",7,130,63,22500,3000,25563,205000,"American Samoa",-170.6961815,-14.3060204
"5",63,6041,3795,5676492,116545,5796832,10000,"Angola",17.873887,-11.202692
"6",13,5,250,150,1000,1400,37325,"Anguilla",-63.068615,18.220554
"7",12,12,208,117800,7506,125514,543600,"Antigua and Barbuda",-61.796428,17.060816
"8",106,11615,36096,14308663,607654,14952413,11881410,"Argentina",-63.616672,-38.416097
"9",7,5,0,395000,144,395144,201453,"Armenia",45.038189,40.069099
"10",228,2199,5257,16153738,44460,16203455,48915073,"Australia",133.775136,-25.274398
"11",48,780,0,72296,0,72296,6621770,"Austria",14.550072,47.516231
"12",15,68,680,2401744,172849,2575273,211200,"Azerbaijan",47.576927,40.143105
"13",26,94,3,39410,1700,41113,2743100,"Bahamas ",-77.39628,25.03428
"14",1,111,0,0,0,0,0,"Bahrain",50.5577,26.0667
"15",336,2992977,1065328,419306228,14297930,434669486,18434780,"Bangladesh",90.356331,23.684994
"16",11,61,18,2700,8210,10928,107200,"Barbados",-59.543198,13.193887
"17",12,31,4720,104032,300,109052,177680,"Belarus",27.953389,53.709807
"18",63,2670,208,13929,0,14137,2260132,"Belgium",4.469936,50.503887
"19",21,1860,570,326507,0,327077,639504,"Belize",-88.49765,17.189877
"20",49,1529,1200,4993960,441938,5437098,8966,"Benin",2.315834,9.30769
"21",6,4,40,0,0,40,353500,"Bermuda",-64.7505,32.3078
"22",10,304,28,86341,1000,87369,3500,"Bhutan",90.433601,27.514162
"23",86,2155,703,7708783,157675,7867161,3327718,"Bolivia ",-63.588653,-16.290154
"24",23,46,3,1414062,90,1414155,821580,"Bosnia and Herzegovina",17.679076,43.915886
"25",20,698,7,1519299,34000,1553306,52050,"Botswana",24.684866,-22.328474
"26",223,12451,15249,104034402,1359963,105409614,22377381,"Brazil",-51.92528,-14.235004
"27",1,0,0,0,0,0,2000,"Brunei Darussalam",114.727669,4.535277
"28",47,313,466,64712,5260,70438,1420304,"Bulgaria",25.48583,42.733883
"29",59,17260,1168,13147269,87644,13236081,181176,"Burkina Faso",-1.561593,12.238333
